price,artist,title,condition,period,movement,year_numeric,condition_grouped,is_signed
20000,Tom  Wesselmann,Sunset Nude with Yellow Tulips,"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art,2004,Excellent,No
25000,Tom  Wesselmann,Still Life with Blonde and Goldfish,"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art,2000,Excellent,No
24000,Ed  Ruscha,Rusty Signs - Dead End 1,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2014,Excellent,No
20000,Ed  Ruscha,Rusty Signs - Cash for Tools 1,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2014,Excellent,No
9000,Ed  Ruscha,Petro Plots: Laurel Canyon/Ventura Boulevard,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2001,Excellent,No
9000,Ed  Ruscha,Petro Plots: Hollywood/Vine,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2001,Excellent,No
15000,Ed  Ruscha,"New Wood, Old Wood","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2007,Excellent,No
18000,Jorge Pardo,Untitled,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2006,Excellent,No
25000,Louise  Bourgeois,Crochet V,"The work is in excellent condition, direct from the publisher.",Post-War,Feminist Art ,1998,Excellent,No
5000,Mimmo Paladino,California Suite No. 10,"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism,2004,Excellent,No
25000,Louise  Bourgeois,Crochet IV,"The work is in excellent condition, direct from the publisher.",Post-War,Feminist Art ,1998,Excellent,No
14000,John Baldessari,Stonehenge (With Two Persons) Blue,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2005,Excellent,No
22000,John Baldessari,Concrete Couples,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2015,Excellent,No
12000,John Baldessari,BLAH,"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art,2018,Excellent,No
15000,Elizabeth Murray,Shack,"The work is in excellent condition, direct from the publisher.",Post-War,Abstract,1994,Excellent,Yes
9500,Robert Rauschenberg,Back-up (Ground Rules),"The work is in excellent condition, direct from the publisher.",Post-War,Conceptual ,1997,Excellent,Yes
40000,Jasper Johns,Untitled,"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art,2018,Excellent,Yes
35000,Jasper Johns,Regrets,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract,2014,Excellent,Yes
12000,Helen Frankenthaler,Causeway,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract,2001,Excellent,Yes
15000,Kiki Smith,Friend,"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism,2008,Excellent,Yes
15000,Kiki Smith,Fortune,"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism,2008,Excellent,Yes
1500,Marina Adams,Untitled 2,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract,2018,Excellent,Yes
7500,Terry Winters,Fate Map,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract,2013,Excellent,Yes
2500,Ed  Ruscha,Bow-Tie Rivet (Bow-Tie Landscapes),"The work is in excellent condition, direct from the publisher.",Contemporary,Realism,2003,Excellent,Yes
9000,Martin Puryear,Untitled (State 1),"The work is in excellent condition, direct from the publisher.",Contemporary,Minimalism,2016,Excellent,Yes
7960,Carroll  Dunham,Untitled (March_31_2015),"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism,2015,Excellent,Yes
15000,Carmen Herrera,Island,"The work is in excellent condition, direct from the publisher.",Contemporary,Geometric Abstraction,2020,Excellent,Yes
45000,Christopher Wool,Untitled (Triptych),"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract,1998,Excellent,Yes
9500,Didier Vermeiren,"Lenticular Photographs, Los Angeles Studio, 2008","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2008,Excellent,Yes
3500,Giuseppe Penone,Brain I,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2000,Excellent,Yes
4500,Giuseppe Penone,Brain II,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2000,Excellent,Yes
21000,Abelardo Morell,After Hitchcock: Psycho. House. Tent-Camera Image,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2018,Excellent,Yes
4000,Guillermo Kuitca,Coat Check,"The work is in excellent condition, direct from the publisher.",Contemporary,Geometric Abstraction,2002,Excellent,Yes
35000,Sam  Francis,Untitled (sfm 83-471),"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism,1983,Excellent,Yes
25000,Elger Esser,Hoquiam,"The work is in excellent condition, direct from the publisher.",Contemporary,Realism,2008,Excellent,Yes
7500,Matthew Brandt,"Box, SN1987A-4420-sm.tif","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2019,Excellent,Yes
7500,Matthew Brandt,"Box, Bar-pt1-pl014_sm.jpg","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2019,Excellent,Yes
22500,Valérie Belin,White Narcissus in Orange (Colour Wonder),"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,2018,Excellent,Yes
12500,Marina Abramović,Chair for the Spirit Chair for Man,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual ,1999,Excellent,Yes
9500,Yong Jo Ji,Nirvana ,Overall excellent condition.,Contemporary,Abstract,2014,Excellent,No
32000,Mel  Bochner,"Measurement: 41""/22""",Unframed. In good condition overall.,Contemporary,Conceptual ,1998,Good,Yes
8000,Jennifer Bartlett,"Homan-Ji III, 216A",Excellent condition. Paper has decked edges. Pinhole in each corner.,Contemporary,Conceptual ,2000,Excellent,Yes
12000,Amedeo Simonetti,The Harem's Cobbler,"Watercolor and gouache on card, hinged to a back mat with tape at the edges. There is slight rippling to the card. The surface is in generally good condition, aside from minor surface dirt and dust; some mat staining at the edges; very faint, scattered foxing and a few isolated tiny pin dot accretions; a pin dot loss at center right; and some very fine craquelure to the darker pigments on the man's sleeve at lower right and shadow of the tablecloth. The colors remain fresh. Additional former tape mounts visible verso.Framed in a gold frame with floral motifs and ready to hang in its current state.",19th Century,Traditional,1890,Good,Yes
48000,Matt Mullican,Untitled (Cosmology Signs),Excellent condition.,Contemporary,Conceptual ,1991,Excellent,Yes
11000,Antonio Carreno,Allegorical #2,Excellent condition.,Contemporary,Abstract Expressionism,2016,Excellent,Yes
11000,Antonio Carreno,Allegorical,Excellent condition.,Contemporary,Abstract Expressionism,2016,Excellent,Yes
40000,Frank Schroeder,Tales of God,Excellent condition.,Contemporary,Expressionism,2016,Excellent,Yes
30000,Danny Simmons,The Golden Path,Excellent condition.,Contemporary,Abstract Expressionism,2016,Excellent,Yes
11000,Antonio Carreno,Racing Divine,Excellent condition.,Contemporary,Abstract Expressionism,2016,Excellent,Yes
30000,Danny Simmons,Traveling,Excellent condition.,Contemporary,Abstract Expressionism,2016,Excellent,Yes
40000,Frank Schroeder,Endless Summer in the Garden,Excellent condition.,Contemporary,Abstract,2016,Excellent,Yes
40000,Frank Schroeder,1001 Nights,Excellent condition.,Contemporary,Abstract,2016,Excellent,Yes
6000,Mieke Marple,Exotic Garden (Venus Fly Trap),Excellent condition.,Contemporary,Feminist Art ,2021,Excellent,Yes
6000,Mieke Marple,Exotic Garden (Flora),Excellent condition.,Contemporary,Feminist Art ,2021,Excellent,Yes
19000,Henry Gunderson,Neurochamber,Excellent condition.,Contemporary,Realism,2019,Excellent,Yes
12000,Mieke Marple,Bad Feminist (Blue Lace Medusa),Excellent condition.,Contemporary,Feminist Art ,2019,Excellent,Yes
20000,Henry Gunderson,Down So Long It Looks Up,Excellent condition.,Contemporary,Surrealism,2019,Excellent,Yes
22500,Christine Wang,Woman Yacht,Excellent condition.,Contemporary,Realism,2019,Excellent,Yes
6000,Mieke Marple,Erotic Garden (Lily),Excellent condition.,Contemporary,Feminist Art ,2021,Excellent,Yes
12000,Christine Wang,Leo Baby,Excellent condition.,Contemporary,Realism,2020,Excellent,Yes
20000,Henry Gunderson,Scissor Lock,Excellent condition.,Contemporary,Realism,2019,Excellent,Yes
8500,Dimitri Berea,"Untitled, Harbor Scene",Not examined out of frame.No obvious signs of wear to art.Small nick and some scratches to the frame.Brown paper verso torn.  ,Post-War,Post-Impressionism,1960,Other,Yes
5000,Raymond Cauchetier,"'À bout de souffle' (Belmondo and Seberg, Champs Elysées, Paris)",Excellent condition.,Post-War,Realism,1959,Excellent,Yes
7000,Douglas Kirkland,"Audrey Hepburn, Paris",Excellent condition.,Post-War,Realism,1965,Excellent,Yes
10000,Michael Kenna,"Ile de La Cite (Merci HCB), Paris, France",Excellent condition.,Post-War,Realism,1992,Excellent,Yes
5000,Norman Parkinson,Cardin Hat Over Paris,Excellent condition.,Post-War,Realism,1948,Excellent,Yes
9500,Frances McLaughlin-Gill,"Fiona Campbell, The Palace at Versailles, Paris",Excellent condition.,Post-War,Realism,1950,Excellent,Yes
15000,Horst P. Horst,Dali Costumes - Paris,Excellent condition.,Modern,Realism,1939,Excellent,Yes
8000,Marc Riboud,"Yves Saint-Laurent, Paris",Excellent condition.,Post-War,Realism,1964,Excellent,Yes
6000,William Klein,Serge Gainsbourg (Cover for 'Love on the Beat' Album),Excellent condition.,Post-War,Realism,1984,Excellent,Yes
8000,Frances McLaughlin-Gill,Dior Black - Paris Collections for Vogue Magazine,Excellent condition.,Post-War,Realism,1952,Excellent,Yes
6000,William Klein,"Dorothy + Little Bara, Paris",Excellent condition.,Post-War,Realism,1960,Excellent,Yes
25000,George Hoyningen-Huene,"Divers, Paris",Not specified,Modern,Realism,1930,Not Specified,Yes
50000,Lillian Bassman,"Across the Restaurant at Le Grand Vefour, Barbara Mullen, Harper's Bazaar, Paris [Dress by Jacques Fath]",Excellent condition.,Post-War,Realism,1949,Excellent,Yes
2700,Russell Young,Bardot,Excellent condition.,Contemporary,Pop Art,2007,Excellent,Yes
16000,Russell Young,Marilyn Crying,Excellent condition.,Contemporary,Pop Art,2019,Excellent,Yes
15000,Russell Young,Elizabeth Taylor Portrait,Excellent condition.,Contemporary,Pop Art,2008,Excellent,Yes
22000,Russell Young,Audrey Hepburn,Excellent condition.,Contemporary,Pop Art,2019,Excellent,Yes
5100,Russell Young,Marilyn Hope,Excellent condition.,Contemporary,Pop Art,2013,Excellent,Yes
5100,Russell Young,Marilyn Portrait,Excellent condition.,Contemporary,Pop Art,2011,Excellent,Yes
32000,Russell Young,Kate Moss Diptych,Excellent condition.,Contemporary,Pop Art,2015,Excellent,Yes
15000,Russell Young,Elizabeth Taylor,Excellent condition.,Contemporary,Pop Art,2005,Excellent,Yes
15000,Russell Young,Elizabeth Taylor,Excellent condition.,Contemporary,Pop Art,2005,Excellent,Yes
15000,Russell Young,Elizabeth Taylor Portrait,Excellent condition.,Contemporary,Pop Art,2008,Excellent,Yes
22000,Russell Young,Audrey Hepburn,Excellent condition.,Contemporary,Pop Art,2019,Excellent,Yes
15000,Russell Young,Elvis,Excellent condition.,Contemporary,Pop Art,2007,Excellent,Yes
2700,Russell Young,Bardot,Excellent condition.,Contemporary,Pop Art,2007,Excellent,Yes
16000,Russell Young,Marilyn Crying,Excellent condition.,Contemporary,Pop Art,2019,Excellent,Yes
13000,Russell Young,Elvis Pistol,Excellent condition.,Contemporary,Pop Art,2011,Excellent,Yes
15000,Russell Young,Elvis,Excellent condition.,Contemporary,Pop Art,2007,Excellent,Yes
1295,Aaron Siskind,Chicago 224,This print is in generally excellent condition.,Post-War,Realism,1990,Excellent,No
5995,Harry Callahan,"Skyscraper with Person and Flagpole, New York","Print is in generally excellent condition.The colors are rich and saturated, with no apparent signs of fading.",Post-War,Realism,1977,Excellent,Yes
3495,Kota Ezawa,The Melody of Destiny,"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Conceptual ,2008,Excellent,No
